id,name,url
tt1363125,"Naughty @ 40",https://www.imdb.com/title/tt1363125/?ref_=ttls_li_tt 
tt0490170,"Love Story 2050",https://www.imdb.com/title/tt0490170/?ref_=ttls_li_tt 
tt2226666,"Jism 2",https://www.imdb.com/title/tt2226666/?ref_=ttls_li_tt 
tt2232524,"Mere Dost Picture Abhi Baaki Hai",https://www.imdb.com/title/tt2232524/?ref_=ttls_li_tt 
tt0308347,"Haan Maine Bhi Pyaar Kiya",https://www.imdb.com/title/tt0308347/?ref_=ttls_li_tt 
tt0311411,"Kranti",https://www.imdb.com/title/tt0311411/?ref_=ttls_li_tt 
tt1728239,"Double Dhamaal",https://www.imdb.com/title/tt1728239/?ref_=ttls_li_tt 
tt0273406,"Aashiq",https://www.imdb.com/title/tt0273406/?ref_=ttls_li_tt 
tt1947973,"Bin Bulaye Baraati",https://www.imdb.com/title/tt1947973/?ref_=ttls_li_tt 
tt0342624,"Karz: The Burden of Truth",https://www.imdb.com/title/tt0342624/?ref_=ttls_li_tt 
tt0489560,"Shaadi Se Pehle",https://www.imdb.com/title/tt0489560/?ref_=ttls_li_tt 
tt3159708,"Welcome Back",https://www.imdb.com/title/tt3159708/?ref_=ttls_li_tt 
tt2166214,"Khiladi 786",https://www.imdb.com/title/tt2166214/?ref_=ttls_li_tt 
tt1176961,"Paying Guests",https://www.imdb.com/title/tt1176961/?ref_=ttls_li_tt 
tt2476154,"Grand Masti",https://www.imdb.com/title/tt2476154/?ref_=ttls_li_tt 
tt0311413,"Krodh",https://www.imdb.com/title/tt0311413/?ref_=ttls_li_tt 
tt3619772,"Hate Story 2",https://www.imdb.com/title/tt3619772/?ref_=ttls_li_tt 
tt4865436,"Hate Story 3",https://www.imdb.com/title/tt4865436/?ref_=ttls_li_tt 
tt0396690,"Kisna: The Warrior Poet",https://www.imdb.com/title/tt0396690/?ref_=ttls_li_tt 
tt1202540,"Dil Bole Hadippa!",https://www.imdb.com/title/tt1202540/?ref_=ttls_li_tt 
tt0337652,"Jeena Sirf Merre Liye",https://www.imdb.com/title/tt0337652/?ref_=ttls_li_tt 
tt3595298,"Prem Ratan Dhan Payo",https://www.imdb.com/title/tt3595298/?ref_=ttls_li_tt 
tt1729637,"Bodyguard",https://www.imdb.com/title/tt1729637/?ref_=ttls_li_tt 
tt4332114,"Dolly Ki Doli",https://www.imdb.com/title/tt4332114/?ref_=ttls_li_tt 
tt1667076,"F.A.L.T.U",https://www.imdb.com/title/tt1667076/?ref_=ttls_li_tt 
tt0397882,"Ab Tumhare Hawale Watan Saathiyo",https://www.imdb.com/title/tt0397882/?ref_=ttls_li_tt 
tt0330217,"Dil Ka Rishta",https://www.imdb.com/title/tt0330217/?ref_=ttls_li_tt 
tt0338959,"Ek Se Badhkar Ek",https://www.imdb.com/title/tt0338959/?ref_=ttls_li_tt 
tt2222550,"1920: Evil Returns",https://www.imdb.com/title/tt2222550/?ref_=ttls_li_tt 
tt0111625,"Vijaypath",https://www.imdb.com/title/tt0111625/?ref_=ttls_li_tt 
tt0263491,"Jis Desh Mein Ganga Rehta Hain",https://www.imdb.com/title/tt0263491/?ref_=ttls_li_tt 
tt2027138,"Kyaa Super Kool Hain Hum",https://www.imdb.com/title/tt2027138/?ref_=ttls_li_tt 
tt0347416,"LOC: Kargil",https://www.imdb.com/title/tt0347416/?ref_=ttls_li_tt 
tt0253194,"Kunwara",https://www.imdb.com/title/tt0253194/?ref_=ttls_li_tt 
tt2188749,"Gali Gali Chor Hai",https://www.imdb.com/title/tt2188749/?ref_=ttls_li_tt 
tt4535650,"Dilwale",https://www.imdb.com/title/tt4535650/?ref_=ttls_li_tt 
tt1029231,"Krrish 3",https://www.imdb.com/title/tt1029231/?ref_=ttls_li_tt 
tt2762334,"Main Tera Hero",https://www.imdb.com/title/tt2762334/?ref_=ttls_li_tt 
tt0354538,"Ek Aur Ek Gyarah: By Hook or by Crook",https://www.imdb.com/title/tt0354538/?ref_=ttls_li_tt 
tt2309987,"Hate Story",https://www.imdb.com/title/tt2309987/?ref_=ttls_li_tt 
tt0444781,"Deewane Huye Paagal",https://www.imdb.com/title/tt0444781/?ref_=ttls_li_tt 
tt0382385,"Zameen",https://www.imdb.com/title/tt0382385/?ref_=ttls_li_tt 
tt1020978,"Naqaab",https://www.imdb.com/title/tt1020978/?ref_=ttls_li_tt 
tt1170404,"Mere Baap Pehle Aap",https://www.imdb.com/title/tt1170404/?ref_=ttls_li_tt 
tt2023645,"Phhir",https://www.imdb.com/title/tt2023645/?ref_=ttls_li_tt 
tt2372222,"Kick",https://www.imdb.com/title/tt2372222/?ref_=ttls_li_tt 
tt1562859,"Golmaal 3",https://www.imdb.com/title/tt1562859/?ref_=ttls_li_tt 
tt0362902,"Nayee Padosan",https://www.imdb.com/title/tt0362902/?ref_=ttls_li_tt 
tt1696191,"Tere Mere Phere",https://www.imdb.com/title/tt1696191/?ref_=ttls_li_tt 
tt2016894,"Ek Tha Tiger",https://www.imdb.com/title/tt2016894/?ref_=ttls_li_tt 
tt0415003,"Garv: Pride and Honour",https://www.imdb.com/title/tt0415003/?ref_=ttls_li_tt 
tt1728986,"Bol Bachchan",https://www.imdb.com/title/tt1728986/?ref_=ttls_li_tt 
tt0445022,"Jurm",https://www.imdb.com/title/tt0445022/?ref_=ttls_li_tt 
tt3302962,"Shaadi Ke Side Effects",https://www.imdb.com/title/tt3302962/?ref_=ttls_li_tt 
tt1340838,"Raaz: The Mystery Continues",https://www.imdb.com/title/tt1340838/?ref_=ttls_li_tt 
tt1535467,"Patiala House",https://www.imdb.com/title/tt1535467/?ref_=ttls_li_tt 
tt0337611,"Dilwale",https://www.imdb.com/title/tt0337611/?ref_=ttls_li_tt 
tt0102513,"Narasimha",https://www.imdb.com/title/tt0102513/?ref_=ttls_li_tt 
tt2309764,"Singham Returns",https://www.imdb.com/title/tt2309764/?ref_=ttls_li_tt 
tt1727496,"Dil Toh Baccha Hai Ji",https://www.imdb.com/title/tt1727496/?ref_=ttls_li_tt 
tt0363409,"Aan: Men at Work",https://www.imdb.com/title/tt0363409/?ref_=ttls_li_tt 
tt4906984,"Azhar",https://www.imdb.com/title/tt4906984/?ref_=ttls_li_tt 
tt0254683,"Phool Aur Kaante",https://www.imdb.com/title/tt0254683/?ref_=ttls_li_tt 
tt2126282,"Ekk Deewana Tha",https://www.imdb.com/title/tt2126282/?ref_=ttls_li_tt 
tt0120157,"Soldier",https://www.imdb.com/title/tt0120157/?ref_=ttls_li_tt 
tt2112124,"Chennai Express",https://www.imdb.com/title/tt2112124/?ref_=ttls_li_tt 
tt0444913,"Tango Charlie",https://www.imdb.com/title/tt0444913/?ref_=ttls_li_tt 
tt0456500,"Kyaa Kool Hai Hum",https://www.imdb.com/title/tt0456500/?ref_=ttls_li_tt 
tt1433905,"All the Best: Fun Begins",https://www.imdb.com/title/tt1433905/?ref_=ttls_li_tt 
tt0119285,"Hero No. 1",https://www.imdb.com/title/tt0119285/?ref_=ttls_li_tt 
tt0216817,"Hum Saath-Saath Hain: We Stand United",https://www.imdb.com/title/tt0216817/?ref_=ttls_li_tt 
tt0117437,"Raja Hindustani",https://www.imdb.com/title/tt0117437/?ref_=ttls_li_tt 
tt0406977,"Masti",https://www.imdb.com/title/tt0406977/?ref_=ttls_li_tt 
tt0206921,"Mann",https://www.imdb.com/title/tt0206921/?ref_=ttls_li_tt 
tt0432637,"Krrish",https://www.imdb.com/title/tt0432637/?ref_=ttls_li_tt 
tt0805184,"Bhagam Bhag",https://www.imdb.com/title/tt0805184/?ref_=ttls_li_tt 
tt2321163,"ABCD (Any Body Can Dance)",https://www.imdb.com/title/tt2321163/?ref_=ttls_li_tt 
tt0326576,"Humraaz",https://www.imdb.com/title/tt0326576/?ref_=ttls_li_tt 
tt0101437,"Beta",https://www.imdb.com/title/tt0101437/?ref_=ttls_li_tt 
tt1252596,"Ajab Prem Ki Ghazab Kahani",https://www.imdb.com/title/tt1252596/?ref_=ttls_li_tt 
tt2215477,"Goliyon Ki Rasleela Ram-Leela",https://www.imdb.com/title/tt2215477/?ref_=ttls_li_tt 
tt0439464,"Bewafa Sanam",https://www.imdb.com/title/tt0439464/?ref_=ttls_li_tt 
tt0255111,"Dhadkan",https://www.imdb.com/title/tt0255111/?ref_=ttls_li_tt 
tt3802576,"Brothers",https://www.imdb.com/title/tt3802576/?ref_=ttls_li_tt 
tt0494290,"Vivah",https://www.imdb.com/title/tt0494290/?ref_=ttls_li_tt 
tt1954206,"The Dirty Picture",https://www.imdb.com/title/tt1954206/?ref_=ttls_li_tt 
tt0210659,"Dulhe Raja",https://www.imdb.com/title/tt0210659/?ref_=ttls_li_tt 
tt0451833,"No Entry",https://www.imdb.com/title/tt0451833/?ref_=ttls_li_tt 
tt1024943,"Om Shanti Om",https://www.imdb.com/title/tt1024943/?ref_=ttls_li_tt 
tt2176013,"Jab Tak Hai Jaan",https://www.imdb.com/title/tt2176013/?ref_=ttls_li_tt 
tt2436516,"Go Goa Gone",https://www.imdb.com/title/tt2436516/?ref_=ttls_li_tt 
tt0418362,"Mujhse Shaadi Karogi",https://www.imdb.com/title/tt0418362/?ref_=ttls_li_tt 
tt0419058,"Phir Hera Pheri",https://www.imdb.com/title/tt0419058/?ref_=ttls_li_tt 
tt3483612,"Hamari Adhuri Kahani",https://www.imdb.com/title/tt3483612/?ref_=ttls_li_tt 
tt1694542,"Tanu Weds Manu",https://www.imdb.com/title/tt1694542/?ref_=ttls_li_tt 
tt0464160,"Chup Chup Ke",https://www.imdb.com/title/tt0464160/?ref_=ttls_li_tt 
tt0152836,"Taal",https://www.imdb.com/title/tt0152836/?ref_=ttls_li_tt 
tt0480572,"Pyaar Ke Side Effects",https://www.imdb.com/title/tt0480572/?ref_=ttls_li_tt 
tt3001638,"Mary Kom",https://www.imdb.com/title/tt3001638/?ref_=ttls_li_tt 
tt0488798,"Welcome",https://www.imdb.com/title/tt0488798/?ref_=ttls_li_tt 
tt2292625,"Chakravyuh",https://www.imdb.com/title/tt2292625/?ref_=ttls_li_tt 
tt0099429,"Dil",https://www.imdb.com/title/tt0099429/?ref_=ttls_li_tt 
tt0133024,"Ishq",https://www.imdb.com/title/tt0133024/?ref_=ttls_li_tt 
tt0476805,"Malamaal Weekly",https://www.imdb.com/title/tt0476805/?ref_=ttls_li_tt 
tt4333674,"Hunterrr",https://www.imdb.com/title/tt4333674/?ref_=ttls_li_tt 
tt0112313,"Akele Hum Akele Tum",https://www.imdb.com/title/tt0112313/?ref_=ttls_li_tt 
tt1285241,"Don 2",https://www.imdb.com/title/tt1285241/?ref_=ttls_li_tt 
tt2178470,"Yeh Jawaani Hai Deewani",https://www.imdb.com/title/tt2178470/?ref_=ttls_li_tt 
tt0254481,"Koi... Mil Gaya",https://www.imdb.com/title/tt0254481/?ref_=ttls_li_tt 
tt2424988,"Gabbar is Back",https://www.imdb.com/title/tt2424988/?ref_=ttls_li_tt 
tt0795434,"Namastey London",https://www.imdb.com/title/tt0795434/?ref_=ttls_li_tt 
tt3735246,"Bajirao Mastani",https://www.imdb.com/title/tt3735246/?ref_=ttls_li_tt 
tt1787988,"Talaash",https://www.imdb.com/title/tt1787988/?ref_=ttls_li_tt 
tt1182937,"Rab Ne Bana Di Jodi",https://www.imdb.com/title/tt1182937/?ref_=ttls_li_tt 
tt0995031,"Bhool Bhulaiyaa",https://www.imdb.com/title/tt0995031/?ref_=ttls_li_tt 
tt0439662,"Fanaa",https://www.imdb.com/title/tt0439662/?ref_=ttls_li_tt 
tt2556308,"Holiday",https://www.imdb.com/title/tt2556308/?ref_=ttls_li_tt 
tt0284137,"Gadar: Ek Prem Katha",https://www.imdb.com/title/tt0284137/?ref_=ttls_li_tt 
tt0845448,"Dhamaal",https://www.imdb.com/title/tt0845448/?ref_=ttls_li_tt 
tt2073070,"Saheb Biwi Aur Gangster",https://www.imdb.com/title/tt2073070/?ref_=ttls_li_tt 
tt1166100,"Ghajini",https://www.imdb.com/title/tt1166100/?ref_=ttls_li_tt 
tt4430136,"Pyaar Ka Punchnama 2",https://www.imdb.com/title/tt4430136/?ref_=ttls_li_tt 
tt0495034,"Golmaal: Fun Unlimited",https://www.imdb.com/title/tt0495034/?ref_=ttls_li_tt 
tt1447508,"Peepli (Live)",https://www.imdb.com/title/tt1447508/?ref_=ttls_li_tt 
tt0337578,"Baghban",https://www.imdb.com/title/tt0337578/?ref_=ttls_li_tt 
tt3495030,"Dum Laga Ke Haisha",https://www.imdb.com/title/tt3495030/?ref_=ttls_li_tt 
tt0110076,"Hum Aapke Hain Koun...!",https://www.imdb.com/title/tt0110076/?ref_=ttls_li_tt 
tt0299108,"Rehnaa Hai Terre Dil Mein",https://www.imdb.com/title/tt0299108/?ref_=ttls_li_tt 
tt0371735,"Hungama",https://www.imdb.com/title/tt0371735/?ref_=ttls_li_tt 
tt1773015,"Phas Gaye Re Obama",https://www.imdb.com/title/tt1773015/?ref_=ttls_li_tt 
tt2359810,"Raanjhanaa",https://www.imdb.com/title/tt2359810/?ref_=ttls_li_tt 
tt1926313,"Pyaar Ka Punchnama",https://www.imdb.com/title/tt1926313/?ref_=ttls_li_tt 
tt1839596,"Rockstar",https://www.imdb.com/title/tt1839596/?ref_=ttls_li_tt 
tt2855648,"Madras Cafe",https://www.imdb.com/title/tt2855648/?ref_=ttls_li_tt 
tt0499375,"Guru",https://www.imdb.com/title/tt0499375/?ref_=ttls_li_tt 
tt0420332,"Veer-Zaara",https://www.imdb.com/title/tt0420332/?ref_=ttls_li_tt 
tt0118751,"Border",https://www.imdb.com/title/tt0118751/?ref_=ttls_li_tt 
tt3863552,"Bajrangi Bhaijaan",https://www.imdb.com/title/tt3863552/?ref_=ttls_li_tt 
tt4387040,"Airlift",https://www.imdb.com/title/tt4387040/?ref_=ttls_li_tt 
tt3848892,"Baby",https://www.imdb.com/title/tt3848892/?ref_=ttls_li_tt 
tt2338151,"PK",https://www.imdb.com/title/tt2338151/?ref_=ttls_li_tt 
tt0169102,"Lagaan: Once Upon a Time in India",https://www.imdb.com/title/tt0169102/?ref_=ttls_li_tt 
tt2631186,"Bahubali: The Beginning",https://www.imdb.com/title/tt2631186/?ref_=ttls_li_tt 
tt0374887,"Munna Bhai M.B.B.S.",https://www.imdb.com/title/tt0374887/?ref_=ttls_li_tt 
tt2082197,"Barfi!",https://www.imdb.com/title/tt2082197/?ref_=ttls_li_tt 
tt0292490,"Dil Chahta Hai",https://www.imdb.com/title/tt0292490/?ref_=ttls_li_tt 
tt0200087,"Sarfarosh",https://www.imdb.com/title/tt0200087/?ref_=ttls_li_tt 
tt0456144,"Lage Raho Munna Bhai",https://www.imdb.com/title/tt0456144/?ref_=ttls_li_tt 
tt1954470,"Gangs of Wasseypur",https://www.imdb.com/title/tt1954470/?ref_=ttls_li_tt 
tt4430212,"Drishyam",https://www.imdb.com/title/tt4430212/?ref_=ttls_li_tt 
tt0367110,"Swades: We, the People",https://www.imdb.com/title/tt0367110/?ref_=ttls_li_tt 
tt0242519,"Hera Pheri",https://www.imdb.com/title/tt0242519/?ref_=ttls_li_tt 
tt2283748,"OMG: Oh My God!",https://www.imdb.com/title/tt2283748/?ref_=ttls_li_tt 
tt2356180,"Bhaag Milkha Bhaag",https://www.imdb.com/title/tt2356180/?ref_=ttls_li_tt 
tt0109117,"Andaz Apna Apna",https://www.imdb.com/title/tt0109117/?ref_=ttls_li_tt 
tt1620933,"Paan Singh Tomar",https://www.imdb.com/title/tt1620933/?ref_=ttls_li_tt 
tt0104561,"Jo Jeeta Wohi Sikandar",https://www.imdb.com/title/tt0104561/?ref_=ttls_li_tt 
tt1187043,"3 Idiots",https://www.imdb.com/title/tt1187043/?ref_=ttls_li_tt 
